Start Time, End Time, Duration (mins), Nap, Sleep Quality (%), Time Awake (mins), Time in REM Slep (mins),Time in Light Sleep (mins), Time In Deep Sleep (mins), SoundsRecorded, Wake-up mood, 
2018-07-04 10:27:36 +0000, 2018-07-04 11:38:36 +0000, 71, YES, 60, 20, 0, 15, 35, 39, Great, 
2018-07-04 12:55:44 +0000, 2018-07-04 13:18:06 +0000, 22, YES, 52, 19, 0, 3, 0, 12, Good, 
2018-07-04 16:31:09 +0000, 2018-07-04 23:30:14 +0000, 419, NO, 70, 10, 0, 5, 404, 0, Ok, 
2018-07-05 16:48:09 +0000, 2018-07-05 23:29:45 +0000, 402, NO, 75, 10, 85, 92, 215, 64, Great, 
2018-07-06 16:43:55 +0000, 2018-07-06 23:30:13 +0000, 406, NO, 73, 10, 40, 75, 281, 49, Great, 
2018-07-07 17:46:52 +0000, 2018-07-07 23:24:24 +0000, 338, NO, 63, 10, 0, 5, 323, 32, N/A, 
2018-07-08 17:08:37 +0000, 2018-07-08 23:30:12 +0000, 382, NO, 68, 10, 75, 85, 212, 92, N/A, 
2018-07-09 16:48:46 +0000, 2018-07-09 23:46:07 +0000, 417, NO, 67, 23, 0, 98, 295, 50, N/A, 
2018-07-10 16:30:21 +0000, 2018-07-11 00:26:58 +0000, 477, NO, 65, 20, 40, 95, 322, 98, N/A, 
2018-07-11 16:51:09 +0000, 2018-07-11 23:30:15 +0000, 399, NO, 73, 10, 50, 85, 254, 60, N/A, 
2018-07-12 15:52:32 +0000, 2018-07-12 23:18:32 +0000, 446, NO, 70, 10, 50, 71, 315, 64, N/A, 
2018-07-13 16:39:28 +0000, 2018-07-14 01:04:56 +0000, 505, NO, 68, 40, 30, 106, 330, 57, N/A, 
2018-07-14 17:24:50 +0000, 2018-07-15 00:30:26 +0000, 426, NO, 72, 10, 75, 76, 265, 81, N/A, 
2018-07-15 16:44:00 +0000, 2018-07-15 23:30:16 +0000, 406, NO, 63, 23, 5, 65, 313, 78, N/A, 
2018-07-16 16:15:25 +0000, 2018-07-16 23:30:09 +0000, 435, NO, 73, 16, 30, 109, 280, 49, N/A, 
2018-07-17 16:39:21 +0000, 2018-07-17 23:30:19 +0000, 411, NO, 73, 21, 6, 79, 305, 27, N/A, 
2018-07-18 16:10:35 +0000, 2018-07-18 23:30:18 +0000, 440, NO, 65, 10, 0, 50, 379, 74, N/A, 
2018-07-19 16:46:46 +0000, 2018-07-19 23:30:28 +0000, 404, NO, 67, 10, 0, 50, 343, 56, N/A, 
2018-07-20 16:49:11 +0000, 2018-07-20 23:30:10 +0000, 401, NO, 72, 15, 20, 71, 295, 31, N/A, 
2018-07-21 17:42:50 +0000, 2018-07-22 01:06:29 +0000, 444, NO, 72, 10, 25, 93, 315, 56, N/A, 
2018-07-22 16:34:47 +0000, 2018-07-22 23:14:23 +0000, 400, NO, 68, 14, 15, 100, 270, 68, N/A, 
2018-07-23 16:09:33 +0000, 2018-07-23 23:02:42 +0000, 413, NO, 70, 30, 40, 160, 170, 23, N/A, 
2018-07-24 15:39:52 +0000, 2018-07-24 23:01:43 +0000, 442, NO, 56, 100, 40, 130, 160, 0, N/A, 
2018-07-25 16:26:58 +0000, 2018-07-25 23:31:28 +0000, 424, NO, 74, 10, 50, 200, 150, 0, N/A, 
2018-07-26 16:59:19 +0000, 2018-07-26 23:35:53 +0000, 397, NO, 68, 40, 50, 140, 150, 0, N/A, 
2018-07-27 17:40:03 +0000, 2018-07-28 00:40:50 +0000, 421, NO, 80, 10, 90, 160, 150, 0, N/A, 
2018-07-28 11:06:51 +0000, 2018-07-28 12:37:28 +0000, 91, NO, 52, 10, 0, 20, 50, 0, N/A, 
2018-07-28 19:45:10 +0000, 2018-07-29 00:06:09 +0000, 261, NO, 62, 30, 30, 80, 110, 0, N/A, 
2018-07-29 17:03:58 +0000, 2018-07-29 22:42:33 +0000, 339, NO, 62, 70, 50, 110, 90, 0, N/A, 
2018-07-30 10:41:54 +0000, 2018-07-30 12:12:28 +0000, 91, NO, 50, 20, 0, 30, 30, 0, N/A, 
2018-07-30 16:30:28 +0000, 2018-07-30 23:32:11 +0000, 422, NO, 74, 20, 50, 190, 150, 0, N/A, 
2018-07-31 11:13:58 +0000, 2018-07-31 11:57:34 +0000, 44, NO, 50, 10, 0, 10, 10, 0, N/A, 
2018-07-31 16:25:13 +0000, 2018-07-31 23:30:44 +0000, 426, NO, 62, 40, 30, 180, 160, 0, N/A, 
2018-08-01 16:44:55 +0000, 2018-08-02 01:28:23 +0000, 523, NO, 66, 60, 40, 240, 170, 0, N/A, 
2018-08-02 17:23:11 +0000, 2018-08-02 23:30:25 +0000, 367, NO, 68, 10, 40, 180, 120, 0, N/A, 
2018-08-03 11:34:00 +0000, 2018-08-03 13:25:27 +0000, 111, NO, 50, 20, 0, 30, 50, 0, N/A, 
2018-08-03 16:31:30 +0000, 2018-08-03 23:50:33 +0000, 439, NO, 74, 60, 110, 160, 90, 0, N/A, 
2018-08-04 10:16:32 +0000, 2018-08-04 12:10:41 +0000, 114, NO, 46, 30, 0, 50, 20, 0, N/A, 
2018-08-04 20:04:17 +0000, 2018-08-05 02:35:19 +0000, 391, NO, 70, 30, 50, 160, 140, 0, N/A, 
2018-08-06 16:20:43 +0000, 2018-08-06 23:09:41 +0000, 409, NO, 70, 20, 60, 140, 140, 0, N/A, 
2018-08-07 16:33:51 +0000, 2018-08-08 00:04:48 +0000, 451, NO, 76, 10, 50, 190, 190, 0, N/A, 
2018-08-08 16:23:41 +0000, 2018-08-08 23:30:48 +0000, 427, NO, 62, 47, 30, 200, 150, 0, N/A, 
2018-08-09 16:33:24 +0000, 2018-08-09 23:30:17 +0000, 417, NO, 66, 37, 50, 210, 120, 0, N/A, 
2018-08-10 16:42:19 +0000, 2018-08-10 17:17:06 +0000, 35, NO,  0, 35, 0, 0, 0, 0, N/A, 
2018-08-10 18:04:48 +0000, 2018-08-11 00:12:12 +0000, 367, NO, 62, 57, 40, 160, 110, 0, N/A, 
2018-08-11 16:58:42 +0000, 2018-08-12 02:08:34 +0000, 550, NO, 70, 70, 80, 240, 160, 0, N/A, 
2018-08-12 16:22:46 +0000, 2018-08-13 00:02:01 +0000, 459, NO, 72, 49, 70, 200, 140, 0, N/A, 
2018-08-13 18:34:50 +0000, 2018-08-14 00:35:39 +0000, 361, NO, 70, 21, 50, 150, 140, 0, N/A, 
2018-08-14 19:26:19 +0000, 2018-08-15 01:29:58 +0000, 364, NO, 64, 44, 40, 140, 140, 0, N/A, 
2018-08-15 17:59:10 +0000, 2018-08-16 01:00:28 +0000, 421, NO, 78, 41, 110, 170, 100, 0, N/A, 
2018-08-16 17:02:55 +0000, 2018-08-17 00:34:03 +0000, 451, NO, 74, 71, 110, 140, 130, 0, N/A, 
2018-08-17 17:29:55 +0000, 2018-08-17 23:30:00 +0000, 360, NO, 74, 40, 50, 140, 130, 0, N/A, 
2018-08-18 16:39:54 +0000, 2018-08-18 23:30:54 +0000, 411, NO, 72, 41, 70, 180, 120, 0, N/A, 
2018-08-19 11:54:57 +0000, 2018-08-19 13:11:52 +0000, 77, NO, 50, 27, 0, 30, 20, 0, N/A, 
2018-08-19 18:56:54 +0000, 2018-08-20 00:53:39 +0000, 357, NO, 56, 57, 40, 160, 100, 0, N/A, 
2018-08-20 17:03:21 +0000, 2018-08-21 00:25:32 +0000, 442, NO, 68, 22, 60, 180, 180, 0, N/A, 
2018-08-21 16:59:01 +0000, 2018-08-22 00:00:17 +0000, 421, NO, 82, 21, 90, 160, 150, 0, N/A, 
2018-08-22 16:37:41 +0000, 2018-08-23 00:47:55 +0000, 490, NO, 64, 80, 50, 200, 160, 0, N/A, 
2018-08-23 16:55:11 +0000, 2018-08-24 00:04:19 +0000, 429, NO, 72, 39, 60, 210, 120, 0, N/A, 
2018-08-24 17:27:16 +0000, 2018-08-25 01:46:20 +0000, 499, NO, 70, 79, 80, 230, 110, 0, N/A, 
2018-08-26 18:32:10 +0000, 2018-08-27 00:45:00 +0000, 373, NO, 80, 23, 60, 150, 140, 0, N/A, 
2018-08-27 18:13:34 +0000, 2018-08-28 00:45:57 +0000, 392, NO, 82, 22, 100, 160, 110, 0, N/A, 
2018-08-29 17:46:53 +0000, 2018-08-29 22:54:07 +0000, 307, NO, 60, 37, 30, 130, 110, 0, N/A, 
2018-08-29 23:03:00 +0000, 2018-08-30 01:32:36 +0000, 150, NO, 40, 60, 0, 50, 40, 0, N/A, 
2018-08-30 16:38:41 +0000, 2018-08-30 23:30:45 +0000, 412, NO, 58, 72, 30, 140, 170, 0, N/A, 
2018-09-03 19:34:18 +0000, 2018-09-04 00:58:17 +0000, 324, NO, 74, 24, 100, 90, 110, 0, N/A, 
2018-09-04 16:30:22 +0000, 2018-09-05 01:30:22 +0000, 540, NO, 52, 120, 30, 220, 170, 0, N/A, 
2018-09-06 16:24:49 +0000, 2018-09-07 00:30:17 +0000, 485, NO, 60, 35, 20, 220, 210, 0, N/A, 
2018-09-07 18:48:05 +0000, 2018-09-08 01:30:39 +0000, 403, NO, 58, 13, 60, 60, 270, 0, N/A, 
